id;latitude;longitude;pop
DE03_DG102013;51.233;6.100;DEDG
DE03_DG102015;51.233;6.100;DEDG
DE03_DG102019;51.233;6.100;DEDG
DE03_DG102022;51.233;6.100;DEDG
DE03_DG102023;51.233;6.100;DEDG
DE03_DG102025;51.233;6.100;DEDG
DE03_MH103001_c;49.664;10.847;DEMH
DE03_MH103002_c;49.664;10.847;DEMH
DE03_MH103012;49.664;10.847;DEMH
DE03_MH103016;49.664;10.847;DEMH
DE03_MH103017;49.664;10.847;DEMH
DE03_MH103032;49.664;10.847;DEMH
DE03_MH103033;49.664;10.847;DEMH
DE03_MH103034;49.664;10.847;DEMH
DE03_MH103035;49.664;10.847;DEMH
DK04_110002;55.972;12.120;DK
DK04_110003;55.972;12.120;DK
DK04_110004;55.972;12.120;DK
DK04_110014;55.972;12.120;DK
DK04_110017;55.972;12.120;DK
DK04_110019;55.972;12.120;DK
DK04_110022;55.972;12.120;DK
DK04_110025;55.972;12.120;DK
DK04_110026;55.972;12.120;DK
DK04_110033;55.972;12.120;DK
EE19_CB86701;58.385;24.533;EE
EE19_CB86702;58.385;24.533;EE
EE19_CB86703;58.385;24.533;EE
EE19_CB86704;58.385;24.533;EE
EE19_CB86705;58.385;24.533;EE
EE19_CB86706;58.385;24.533;EE
EE19_CB86707;58.385;24.533;EE
EE19_CB86708;58.385;24.533;EE
EE19_CB86711;58.385;24.533;EE
EE19_CB86712;58.385;24.533;EE
ES04_108001;40.734;0.792;ES
ES04_108002;40.734;0.792;ES
ES04_108009;40.734;0.792;ES
ES04_108010;40.734;0.792;ES
ES04_108011;40.734;0.792;ES
ES04_108013;40.734;0.792;ES
ES04_108015;40.734;0.792;ES
ES04_108016;40.734;0.792;ES
ES04_108018;40.734;0.792;ES
ES04_108019;40.734;0.792;ES
FI18_HA70203;60.339;25.671;FIE
FI18_HA70204;60.339;25.671;FIE
FI18_HA70208;60.339;25.671;FIE
FI18_HA70215;60.339;25.671;FIE
FI18_HA70216;60.339;25.671;FIE
FI18_HA70220;60.339;25.671;FIE
FI18_HA70221;60.339;25.671;FIE
FI18_HA70222;60.339;25.671;FIE
FI18_HA70223;60.339;25.671;FIE
FI18_HA70228;60.339;25.671;FIE
FI18_HA70205;60.557;21.504;FIW
FI18_HA70206;60.557;21.504;FIW
FI18_HA70214;60.557;21.504;FIW
FI18_HA70217;60.557;21.504;FIW
FI18_HA70219;60.557;21.504;FIW
LT03_107020;55.346;21.241;LT
LT03_107021;55.346;21.241;LT
LT03_107022;55.346;21.241;LT
LT03_107025;55.346;21.241;LT
LT03_107028;55.346;21.241;LT
LT03_107029;55.346;21.241;LT
LT03_107032;55.346;21.241;LT
LT03_107037;55.346;21.241;LT
LT03_107038;55.346;21.241;LT
LT03_107040;55.346;21.241;LT
PL03_105021;51.534;17.315;PL
PL03_105024;51.534;17.315;PL
PL03_105025;51.534;17.315;PL
PL03_105033;51.534;17.315;PL
PL03_105036;51.534;17.315;PL
PL06_117001;51.534;17.315;PL
PL06_117029;51.534;17.315;PL
PL06_117031;51.534;17.315;PL
PL06_117083;51.534;17.315;PL
PL06_117087;51.534;17.315;PL
RO04_DD111001;44.632;28.872;RODD
RO04_DD111003;44.632;28.872;RODD
RO04_DD111004;44.632;28.872;RODD
RO04_DD111005;44.632;28.872;RODD
RO04_DD111006;44.632;28.872;RODD
RO04_DD111012;44.632;28.872;RODD
RO04_DD111014;44.632;28.872;RODD
RO04_DD111032;44.632;28.872;RODD
RO03_TR104002;46.966;23.899;ROTR
RO03_TR104003;46.966;23.899;ROTR
RO03_TR104007;46.966;23.899;ROTR
RO03_TR104013;46.966;23.899;ROTR
RO03_TR104016;46.966;23.899;ROTR
RO03_TR104017;46.966;23.899;ROTR
RO03_TR104036;46.966;23.899;ROTR
RO03_TR104042;46.966;23.899;ROTR
SE16_14322902;55.700;13.476;SE
SE16_B4G4898;55.700;13.476;SE
SE16_CP59528;55.700;13.476;SE
SE16_CT90650;55.700;13.476;SE
SE16_CX14220;55.700;13.476;SE
SE16_CX14281;55.700;13.476;SE
